participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
20,exp_2_child,3,11/06/2025,08:31:40,8,novel_word_condition,shells,shell_spiral_3_1.png,10,gades,1,3148,3,1,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,8,novel_word_condition,shells,shell_spiral_2_1.png,9,gades,2,3981,2,1,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,9,novel_word_condition,shoes,shoe_ghillie_1_2.png,8,nefts,1,4411,1,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,9,novel_word_condition,shoes,shoe_sneaker_2_1.png,9,nefts,2,5294,2,1,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
26,exp_2_child,3,11/18/2025,10:00:01,0,novel_word_condition,apples,apple_apple_5_0.png,0,apples,1,20266,5,0,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,0,novel_word_condition,apples,strawberry_strawberry_3_0.png,5,apples,2,21574,3,0,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,1,novel_word_condition,carrots,carrot_carrot_1_0.png,2,carrots,1,8592,1,0,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,1,novel_word_condition,carrots,carrot_carrot_2_0.png,6,carrots,2,9677,2,0,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,2,novel_word_condition,flowers,flower_round_1_1.png,9,serns,1,5916,1,1,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,2,novel_word_condition,flowers,flower_iris_1_2.png,10,serns,2,8543,1,2,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,3,novel_word_condition,shells,shell_spiral_1_1.png,10,leams,1,7400,1,1,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,3,novel_word_condition,shells,shell_fan_3_1.png,9,leams,2,9901,3,1,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,4,novel_word_condition,shoes,shoe_loafer_2_1.png,10,nefts,1,9164,2,1,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
26,exp_2_child,3,11/18/2025,10:00:01,4,novel_word_condition,shoes,shoe_loafer_1_1.png,11,nefts,2,10730,1,1,11/18/25,12/12/2021,CB,She had trouble clicking and would change her answer if it didn't work the first time. she also was mostly just clicking the bottom row and resting her hand on the table.,FALSE,NA,47.2231350640815
